"_time","oracle_error_code","oracle_error_desc"
"2019-06-13T02:43:47.949-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-13T02:43:40.926-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-13T02:43:32.218-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-13T02:43:25.195-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-13T02:43:18.187-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-13T02:43:17.376-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-13T02:43:10.368-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-13T02:43:03.345-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-13T02:42:56.338-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-13T02:42:44.352-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-13T02:42:37.345-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-13T02:42:30.322-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-13T02:42:23.314-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-13T02:42:09.066-0400","ORA-12528","TNS:listener: all appropriate instances are blocking new connections"
"2019-06-13T02:42:02.058-0400","ORA-12528","TNS:listener: all appropriate instances are blocking new connections"
"2019-06-13T02:41:55.051-0400","ORA-12528","TNS:listener: all appropriate instances are blocking new connections"
"2019-06-13T02:41:48.044-0400","ORA-12528","TNS:listener: all appropriate instances are blocking new connections"
"2019-06-13T02:41:34.060-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
"2019-06-13T02:41:27.053-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
"2019-06-13T02:41:20.030-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
"2019-06-13T02:41:13.022-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
"2019-06-05T04:59:39.661-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-05T04:59:32.655-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-05T04:59:25.633-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-05T04:59:18.625-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-05T04:59:04.797-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-05T04:59:01.801-0400","ORA-01033","ORACLE initialization or shutdown in progress"
