"_time","oracle_error_code","oracle_error_desc"
"2019-06-12T02:30:16.067-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
"2019-06-12T02:30:09.062-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
"2019-06-12T02:30:02.058-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
"2019-06-12T02:29:55.053-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
"2019-06-12T02:29:46.083-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
"2019-06-12T02:29:39.079-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
"2019-06-12T02:29:32.075-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
"2019-06-12T02:29:25.070-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
"2019-06-12T02:29:16.693-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
"2019-06-12T02:29:09.689-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
"2019-06-12T02:29:02.684-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
"2019-06-12T02:28:55.680-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
"2019-06-11T02:30:05.725-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-11T02:29:58.257-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-10T02:31:56.500-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-10T02:31:49.070-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-09T02:32:53.866-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-09T02:32:46.474-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-08T02:31:35.285-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-08T02:31:27.923-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-08T02:31:20.544-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-08T02:31:13.181-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-08T02:31:07.884-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-08T02:31:01.046-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-08T02:30:26.890-0400","ORA-12528","TNS:listener: all appropriate instances are blocking new connections"
"2019-06-08T02:30:19.527-0400","ORA-12528","TNS:listener: all appropriate instances are blocking new connections"
"2019-06-08T02:30:12.164-0400","ORA-12528","TNS:listener: all appropriate instances are blocking new connections"
"2019-06-08T02:30:04.802-0400","ORA-12528","TNS:listener: all appropriate instances are blocking new connections"
"2019-06-08T02:29:55.324-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
"2019-06-08T02:29:47.961-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
