"_time","oracle_error_code","oracle_error_desc"
"2019-06-25T20:53:45.280-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-25T20:53:38.275-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-25T20:53:31.271-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-25T20:53:24.266-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-25T20:53:09.991-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-25T20:53:02.987-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-25T20:53:45.271-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-25T20:53:38.266-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-25T20:53:31.262-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-25T20:53:24.241-0400","ORA-01033","ORACLE initialization or shutdown in progress"
"2019-06-25T20:52:22.308-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
"2019-06-25T20:52:21.153-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
"2019-06-25T20:52:14.149-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
"2019-06-25T20:52:07.144-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
"2019-06-25T20:52:00.140-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
"2019-06-25T20:51:53.135-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
"2019-06-25T20:51:46.130-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
"2019-06-25T20:51:39.126-0400","ORA-12505","TNS:listener does not currently know of SID given in connect descriptor"
"2019-06-25T20:14:18.695-0400","ORA-00942","table or view does not exist"
"2019-06-25T20:14:18.679-0400","ORA-00942","table or view does not exist"
"2019-06-25T20:14:18.679-0400","ORA-00942","table or view does not exist"
"2019-06-25T20:14:18.679-0400","ORA-00942","table or view does not exist"
"2019-06-25T20:14:18.679-0400","ORA-00942","table or view does not exist"
"2019-06-25T20:09:18.637-0400","ORA-00942","table or view does not exist"
"2019-06-25T20:09:18.637-0400","ORA-00942","table or view does not exist"
"2019-06-25T20:09:18.637-0400","ORA-00942","table or view does not exist"
"2019-06-25T20:09:18.637-0400","ORA-00942","table or view does not exist"
"2019-06-25T20:09:18.637-0400","ORA-00942","table or view does not exist"
"2019-06-25T20:04:18.626-0400","ORA-00942","table or view does not exist"
"2019-06-25T20:04:18.626-0400","ORA-00942","table or view does not exist"
"2019-06-25T20:04:18.626-0400","ORA-00942","table or view does not exist"
"2019-06-25T20:04:18.626-0400","ORA-00942","table or view does not exist"
"2019-06-25T20:04:18.626-0400","ORA-00942","table or view does not exist"
"2019-06-25T19:59:18.631-0400","ORA-00942","table or view does not exist"
"2019-06-25T19:59:18.631-0400","ORA-00942","table or view does not exist"
"2019-06-25T19:59:18.631-0400","ORA-00942","table or view does not exist"
"2019-06-25T19:59:18.631-0400","ORA-00942","table or view does not exist"
"2019-06-25T19:59:18.631-0400","ORA-00942","table or view does not exist"
"2019-06-25T19:54:18.675-0400","ORA-00942","table or view does not exist"
"2019-06-25T19:54:18.675-0400","ORA-00942","table or view does not exist"
"2019-06-25T19:54:18.675-0400","ORA-00942","table or view does not exist"
"2019-06-25T19:54:18.675-0400","ORA-00942","table or view does not exist"
"2019-06-25T19:54:18.675-0400","ORA-00942","table or view does not exist"
"2019-06-25T19:49:18.624-0400","ORA-00942","table or view does not exist"
"2019-06-25T19:49:18.624-0400","ORA-00942","table or view does not exist"
"2019-06-25T19:49:18.624-0400","ORA-00942","table or view does not exist"
"2019-06-25T19:49:18.624-0400","ORA-00942","table or view does not exist"
"2019-06-25T19:49:18.624-0400","ORA-00942","table or view does not exist"
"2019-06-25T19:44:18.635-0400","ORA-00942","table or view does not exist"
"2019-06-25T19:44:18.635-0400","ORA-00942","table or view does not exist"
"2019-06-25T19:44:18.635-0400","ORA-00942","table or view does not exist"
"2019-06-25T19:44:18.635-0400","ORA-00942","table or view does not exist"
"2019-06-25T19:44:18.635-0400","ORA-00942","table or view does not exist"
"2019-06-25T19:39:18.632-0400","ORA-00942","table or view does not exist"
"2019-06-25T19:39:18.632-0400","ORA-00942","table or view does not exist"
"2019-06-25T19:39:18.632-0400","ORA-00942","table or view does not exist"
"2019-06-25T19:39:18.632-0400","ORA-00942","table or view does not exist"
"2019-06-25T19:39:18.632-0400","ORA-00942","table or view does not exist"
"2019-06-25T19:34:18.654-0400","ORA-00942","table or view does not exist"
"2019-06-25T19:34:18.654-0400","ORA-00942","table or view does not exist"
"2019-06-25T19:34:18.654-0400","ORA-00942","table or view does not exist"
"2019-06-25T19:34:18.654-0400","ORA-00942","table or view does not exist"
"2019-06-25T19:34:18.654-0400","ORA-00942","table or view does not exist"
"2019-06-25T19:29:18.638-0400","ORA-00942","table or view does not exist"
"2019-06-25T19:29:18.638-0400","ORA-00942","table or view does not exist"
"2019-06-25T19:29:18.638-0400","ORA-00942","table or view does not exist"
"2019-06-25T19:29:18.638-0400","ORA-00942","table or view does not exist"
"2019-06-25T19:29:18.638-0400","ORA-00942","table or view does not exist"
"2019-06-25T19:24:18.633-0400","ORA-00942","table or view does not exist"
"2019-06-25T19:24:18.633-0400","ORA-00942","table or view does not exist"
"2019-06-25T19:24:18.633-0400","ORA-00942","table or view does not exist"
"2019-06-25T19:24:18.633-0400","ORA-00942","table or view does not exist"
"2019-06-25T19:24:18.633-0400","ORA-00942","table or view does not exist"
"2019-06-25T19:19:18.669-0400","ORA-00942","table or view does not exist"
"2019-06-25T19:19:18.653-0400","ORA-00942","table or view does not exist"
"2019-06-25T19:19:18.653-0400","ORA-00942","table or view does not exist"
"2019-06-25T19:19:18.653-0400","ORA-00942","table or view does not exist"
"2019-06-25T19:19:18.653-0400","ORA-00942","table or view does not exist"
"2019-06-25T19:14:18.642-0400","ORA-00942","table or view does not exist"
"2019-06-25T19:14:18.642-0400","ORA-00942","table or view does not exist"
"2019-06-25T19:14:18.642-0400","ORA-00942","table or view does not exist"
"2019-06-25T19:14:18.642-0400","ORA-00942","table or view does not exist"
"2019-06-25T19:14:18.642-0400","ORA-00942","table or view does not exist"
"2019-06-25T19:12:27.731-0400","ORA-12528","TNS:listener: all appropriate instances are blocking new connections"
