_time,oracle_error_code,oracle_error_desc,date,time
2019-06-21T05:26:46.104-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-21,05:26:46
2019-06-21T05:26:38.791-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-21,05:26:38
2019-06-20T14:56:35.930-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-20,14:56:35
2019-06-20T14:56:28.930-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-20,14:56:28
2019-06-20T14:56:21.930-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-20,14:56:21
2019-06-20T14:56:14.929-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-20,14:56:14
2019-06-20T14:56:07.929-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-20,14:56:07
2019-06-20T14:56:00.929-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-20,14:56:00
2019-06-20T03:06:41.225-0400,ORA-01033,ORACLE initialization or shutdown in progress,2019-06-20,03:06:41
2019-06-20T03:06:33.928-0400,ORA-01033,ORACLE initialization or shutdown in progress,2019-06-20,03:06:33
2019-06-20T03:06:26.631-0400,ORA-01033,ORACLE initialization or shutdown in progress,2019-06-20,03:06:26
2019-06-20T03:06:19.334-0400,ORA-01033,ORACLE initialization or shutdown in progress,2019-06-20,03:06:19
2019-06-20T03:06:09.128-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-20,03:06:09
2019-06-20T03:06:01.832-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-20,03:06:01
2019-06-20T03:05:54.535-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-20,03:05:54
2019-06-20T03:05:47.238-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-20,03:05:47
2019-06-20T02:47:54.293-0400,ORA-01033,ORACLE initialization or shutdown in progress,2019-06-20,02:47:54
