_time,oracle_error_code,oracle_error_desc,date,time
2019-06-24T12:28:18.702-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-24,12:28:18
2019-06-24T12:28:16.720-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-24,12:28:16
2019-06-24T12:28:09.716-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-24,12:28:09
2019-06-24T12:28:02.712-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-24,12:28:02
2019-06-24T12:27:55.707-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-24,12:27:55
2019-06-24T12:27:48.703-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-24,12:27:48
2019-06-24T12:26:52.902-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-24,12:26:52
2019-06-24T12:26:50.936-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-24,12:26:50
2019-06-24T12:26:43.932-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-24,12:26:43
2019-06-24T12:26:36.927-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-24,12:26:36
2019-06-24T12:26:29.923-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-24,12:26:29
2019-06-24T12:26:22.918-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-24,12:26:22
2019-06-24T11:24:31.652-0400,ORA-12528,TNS:listener: all appropriate instances are blocking new connections,2019-06-24,11:24:31
2019-06-24T11:24:29.655-0400,ORA-12528,TNS:listener: all appropriate instances are blocking new connections,2019-06-24,11:24:29
2019-06-24T11:24:22.651-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-24,11:24:22
2019-06-24T11:24:15.647-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-24,11:24:15
2019-06-24T11:24:08.643-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-24,11:24:08
2019-06-24T11:24:01.639-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-24,11:24:01
2019-06-24T11:23:31.142-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-24,11:23:31
2019-06-24T11:23:24.138-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-24,11:23:24
2019-06-24T11:23:17.134-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-24,11:23:17
2019-06-24T11:23:10.131-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-24,11:23:10
2019-06-24T11:22:31.796-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-24,11:22:31
2019-06-24T11:21:52.636-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-24,11:21:52
2019-06-24T11:21:45.632-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-24,11:21:45
2019-06-24T11:21:38.629-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-24,11:21:38
2019-06-24T11:21:31.625-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-24,11:21:31
2019-06-24T11:22:24.792-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-24,11:22:24
2019-06-24T11:22:17.787-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-24,11:22:17
2019-06-24T11:22:10.783-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-24,11:22:10
2019-06-24T11:13:22.559-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-24,11:13:22
2019-06-24T11:13:15.548-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-24,11:13:15
2019-06-24T11:13:08.542-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-24,11:13:08
2019-06-24T11:13:01.536-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-24,11:13:01
2019-06-24T11:14:49.815-0400,ORA-01033,ORACLE initialization or shutdown in progress,2019-06-24,11:14:49
2019-06-24T11:14:42.811-0400,ORA-01033,ORACLE initialization or shutdown in progress,2019-06-24,11:14:42
2019-06-24T11:14:35.791-0400,ORA-01033,ORACLE initialization or shutdown in progress,2019-06-24,11:14:35
2019-06-24T11:14:28.787-0400,ORA-01033,ORACLE initialization or shutdown in progress,2019-06-24,11:14:28
2019-06-24T11:14:20.456-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-24,11:14:20
2019-06-24T11:14:13.452-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-24,11:14:13
2019-06-24T11:12:40.647-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-24,11:12:40
2019-06-24T11:12:38.713-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-24,11:12:38
2019-06-24T11:12:31.709-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-24,11:12:31
2019-06-24T11:12:24.704-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-24,11:12:24
2019-06-24T11:12:17.700-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-24,11:12:17
2019-06-24T11:12:10.695-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-24,11:12:10
2019-06-24T10:28:02.978-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-24,10:28:02
2019-06-24T10:27:55.974-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-24,10:27:55
2019-06-24T10:27:48.970-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-24,10:27:48
2019-06-24T10:27:41.965-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-24,10:27:41
2019-06-24T10:28:11.878-0400,ORA-12528,TNS:listener: all appropriate instances are blocking new connections,2019-06-24,10:28:11
2019-06-24T10:28:04.871-0400,ORA-12528,TNS:listener: all appropriate instances are blocking new connections,2019-06-24,10:28:04
2019-06-24T10:27:57.864-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-24,10:27:57
2019-06-24T10:27:50.856-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-24,10:27:50
2019-06-24T10:24:47.513-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-24,10:24:47
2019-06-24T10:24:40.512-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-24,10:24:40
2019-06-24T10:24:33.522-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-24,10:24:33
2019-06-24T10:24:26.518-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-24,10:24:26
2019-06-24T10:23:52.023-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-24,10:23:52
2019-06-24T10:23:45.019-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-24,10:23:45
2019-06-24T10:23:38.011-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-24,10:23:38
2019-06-24T10:23:31.007-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-24,10:23:31
2019-06-24T10:25:51.953-0400,ORA-01033,ORACLE initialization or shutdown in progress,2019-06-24,10:25:51
2019-06-24T10:25:44.948-0400,ORA-01033,ORACLE initialization or shutdown in progress,2019-06-24,10:25:44
2019-06-24T10:25:37.928-0400,ORA-01033,ORACLE initialization or shutdown in progress,2019-06-24,10:25:37
2019-06-24T10:25:30.923-0400,ORA-01033,ORACLE initialization or shutdown in progress,2019-06-24,10:25:30
2019-06-24T10:25:23.887-0400,ORA-01033,ORACLE initialization or shutdown in progress,2019-06-24,10:25:23
2019-06-24T10:25:16.883-0400,ORA-01033,ORACLE initialization or shutdown in progress,2019-06-24,10:25:16
2019-06-24T10:24:47.163-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-24,10:24:47
2019-06-24T10:24:45.588-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-24,10:24:45
2019-06-24T10:24:38.162-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-24,10:24:38
2019-06-24T10:24:31.157-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-24,10:24:31
2019-06-24T10:24:24.152-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-24,10:24:24
2019-06-24T10:24:17.148-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-24,10:24:17
2019-06-24T10:11:23.398-0400,ORA-01033,ORACLE initialization or shutdown in progress,2019-06-24,10:11:23
2019-06-24T10:11:16.399-0400,ORA-01033,ORACLE initialization or shutdown in progress,2019-06-24,10:11:16
2019-06-24T10:11:14.527-0400,ORA-01033,ORACLE initialization or shutdown in progress,2019-06-24,10:11:14
2019-06-24T10:11:07.042-0400,ORA-01033,ORACLE initialization or shutdown in progress,2019-06-24,10:11:07
2019-06-24T10:10:53.364-0400,ORA-12528,TNS:listener: all appropriate instances are blocking new connections,2019-06-24,10:10:53
2019-06-24T10:10:46.369-0400,ORA-12528,TNS:listener: all appropriate instances are blocking new connections,2019-06-24,10:10:46
2019-06-24T10:10:28.955-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-24,10:10:28
2019-06-24T10:10:21.955-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-24,10:10:21
2019-06-24T10:10:14.940-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-24,10:10:14
2019-06-24T10:10:07.939-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-24,10:10:07
2019-06-24T10:09:58.771-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-24,10:09:58
2019-06-24T10:09:51.767-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-24,10:09:51
2019-06-24T10:09:44.762-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-24,10:09:44
2019-06-24T10:09:37.742-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-24,10:09:37
2019-06-24T10:02:51.554-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-24,10:02:51
2019-06-24T10:02:44.550-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-24,10:02:44
2019-06-24T10:02:37.545-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-24,10:02:37
2019-06-24T10:02:30.541-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-24,10:02:30
2019-06-24T10:04:16.878-0400,ORA-01033,ORACLE initialization or shutdown in progress,2019-06-24,10:04:16
2019-06-24T10:04:09.873-0400,ORA-01033,ORACLE initialization or shutdown in progress,2019-06-24,10:04:09
2019-06-24T10:04:02.448-0400,ORA-12528,TNS:listener: all appropriate instances are blocking new connections,2019-06-24,10:04:02
2019-06-24T10:03:55.443-0400,ORA-12528,TNS:listener: all appropriate instances are blocking new connections,2019-06-24,10:03:55
2019-06-24T10:03:48.439-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-24,10:03:48
2019-06-24T10:03:41.435-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-24,10:03:41
2019-06-24T10:03:32.433-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-24,10:03:32
2019-06-24T10:03:25.429-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-24,10:03:25
2019-06-24T10:03:18.425-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-24,10:03:18
2019-06-24T10:03:11.420-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-24,10:03:11
2019-06-24T10:03:02.435-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-24,10:03:02
2019-06-24T10:02:55.430-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-24,10:02:55
2019-06-24T10:02:48.426-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-24,10:02:48
2019-06-24T10:02:41.421-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-24,10:02:41
2019-06-24T09:34:21.295-0400,ORA-12528,TNS:listener: all appropriate instances are blocking new connections,2019-06-24,09:34:21
2019-06-24T09:34:14.291-0400,ORA-12528,TNS:listener: all appropriate instances are blocking new connections,2019-06-24,09:34:14
2019-06-24T09:34:07.286-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-24,09:34:07
2019-06-24T09:34:00.282-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-24,09:34:00
2019-06-24T09:33:43.101-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-24,09:33:43
2019-06-24T09:33:36.097-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-24,09:33:36
2019-06-24T09:27:55.568-0400,ORA-12505,TNS:listener does not currently know of SID given in connect descriptor,2019-06-24,09:27:55
